Year,Day,Region
2015,1/01/2015,Nacional
2015,6/01/2015,Nacional
2015,28/02/2015,Andalucía
2015,19/03/2015,Comunidad Valenciana
2015,19/03/2015,Madrid
2015,19/03/2015,Murcia
2015,19/03/2015,Navarra
2015,19/03/2015,País Vasco
2015,20/03/2015,Galicia
2015,2/04/2015,Andalucía
2015,2/04/2015,Aragón
2015,2/04/2015,Asturias
2015,2/04/2015,Cantabria
2015,2/04/2015,Castilla y León
2015,2/04/2015,Castilla-La Mancha
2015,2/04/2015,Extremadura
2015,2/04/2015,Galicia
2015,2/04/2015,La Rioja
2015,2/04/2015,Madrid
2015,2/04/2015,Murcia
2015,2/04/2015,Navarra
2015,2/04/2015,País Vasco
2015,3/04/2015,Nacional
2015,6/04/2015,Cantabria
2015,6/04/2015,Castilla-La Mancha
2015,6/04/2015,Cataluña
2015,6/04/2015,Comunidad Valenciana
2015,6/04/2015,La Rioja
2015,6/04/2015,Navarra
2015,6/04/2015,País Vasco
2015,23/04/2015,Aragón
2015,23/04/2015,Castilla y León
2015,1/05/2015,Nacional
2015,2/05/2015,Madrid
2015,4/06/2015,Castilla-La Mancha
2015,4/06/2015,Madrid
2015,9/06/2015,La Rioja
2015,9/06/2015,Murcia
2015,24/06/2015,Cataluña
2015,25/07/2015,Galicia
2015,25/07/2015,Navarra
2015,25/07/2015,País Vasco
2015,15/08/2015,Nacional
2015,8/09/2015,Asturias
2015,8/09/2015,Extremadura
2015,11/09/2015,Cataluña
2015,15/09/2015,Cantabria
2015,9/10/2015,Comunidad Valenciana
2015,12/10/2015,Nacional
2015,2/11/2015,Andalucía
2015,2/11/2015,Aragón
2015,2/11/2015,Asturias
2015,2/11/2015,Cantabria
2015,2/11/2015,Castilla y León
2015,2/11/2015,Extremadura
2015,2/11/2015,Galicia
2015,7/12/2015,Andalucía
2015,7/12/2015,Aragón
2015,7/12/2015,Asturias
2015,7/12/2015,Castilla y León
2015,7/12/2015,Castilla-La Mancha
2015,7/12/2015,Comunidad Valenciana
2015,7/12/2015,Extremadura
2015,7/12/2015,La Rioja
2015,7/12/2015,Murcia
2015,8/12/2015,Nacional
2015,25/12/2015,Nacional
2015,26/12/2015,Cataluña
2016,1/01/2016,Nacional
2016,6/01/2016,Nacional
2016,29/02/2016,Andalucía
2016,24/03/2016,Andalucía
2016,24/03/2016,Aragón
2016,24/03/2016,Asturias
2016,24/03/2016,Baleares
2016,24/03/2016,Cantabria
2016,24/03/2016,Castilla y León
2016,24/03/2016,Castilla-La Mancha
2016,24/03/2016,Comunidad Valenciana
2016,24/03/2016,Extremadura
2016,24/03/2016,Galicia
2016,24/03/2016,La Rioja
2016,24/03/2016,Madrid
2016,24/03/2016,Murcia
2016,24/03/2016,Navarra
2016,24/03/2016,País Vasco
2016,25/03/2016,Nacional
2016,28/03/2016,Cataluña
2016,28/03/2016,Comunidad Valenciana
2016,28/03/2016,La Rioja
2016,28/03/2016,Navarra
2016,28/03/2016,País Vasco 
2016,2/05/2016,Andalucía
2016,2/05/2016,Aragón
2016,2/05/2016,Asturias
2016,2/05/2016,Castilla y León
2016,2/05/2016,Extremadura
2016,2/05/2016,Madrid
2016,16/05/2016,Cataluña
2016,17/05/2016,Galicia
2016,26/05/2016,Castilla-La Mancha
2016,31/05/2016,Castilla-La Mancha
2016,09/06/2016,La Rioja
2016,09/06/2016,Murcia
2016,24/06/2016,Cataluña
2016,24/06/2016,Galicia
2016,25/07/2016,Galicia
2016,25/07/2016,La Rioja
2016,25/07/2016,Madrid
2016,25/07/2016,Navarra
2016,25/07/2016,País Vasco
2016,28/07/2016,Cantabria
2016,15/08/2016,Nacional
2016,08/09/2016,Asturias
2016,08/09/2016,Extremadura
2016,15/09/2016,Cantabria
2016,07/10/2016,País Vasco
2016,12/10/2016,Nacional
2016,1/11/2016,Nacional
2016,6/12/2016,Nacional
2016,8/12/2016,Nacional
2016,26/12/2016,Andalucía
2016,26/12/2016,Aragón
2016,26/12/2016,Asturias
2016,26/12/2016,Cantabria
2016,26/12/2016,Castilla y León
2016,26/12/2016,Castilla-La Mancha
2016,26/12/2016,Cataluña
2016,26/12/2016,Comunidad Valenciana
2016,26/12/2016,Extremadura
2016,26/12/2016,Madrid
2016,26/12/2016,Murcia
2016,26/12/2016,Navarra
2017,2/01/2017,Andalucía
2017,2/01/2017,Aragón
2017,2/01/2017,Asturias
2017,2/01/2017,Castilla y León
2017,2/01/2017,Murcia
2017,6/01/2017,Nacional
2017,28/02/2017,Andalucía
2017,20/03/2017,Extremadura
2017,20/03/2017,Madrid
2017,13/04/2017,Andalucía
2017,13/04/2017,Aragón
2017,13/04/2017,Asturias
2017,13/04/2017,Cantabria
2017,13/04/2017,Castilla y León
2017,13/04/2017,Castilla-La Mancha
2017,13/04/2017,Comunidad Valenciana
2017,13/04/2017,Extremadura
2017,13/04/2017,Galicia
2017,13/04/2017,La Rioja
2017,13/04/2017,Madrid
2017,13/04/2017,Murcia
2017,13/04/2017,Navarra
2017,13/04/2017,País Vasco
2017,14/04/2017,Nacional
2017,17/04/2017,Cataluña
2017,17/04/2017,Comunidad Valenciana
2017,17/04/2017,La Rioja
2017,17/04/2017,Navarra
2017,17/04/2017,País Vasco
2017,24/04/2017,Aragón
2017,24/04/2017,Castilla y León
2017,1/05/2017,Nacional
2017,2/05/2017,Madrid
2017,17/05/2017,Galicia
2017,31/05/2017,Castilla-La Mancha
2017,9/06/2017,La Rioja
2017,9/06/2017,Murcia
2017,15/06/2017,Castilla-La Mancha
2017,25/07/2017,Galicia
2017,25/07/2017,Navarra
2017,25/07/2017,País Vasco
2017,28/07/2017,Cantabria
2017,15/08/2017,Nacional
2017,8/09/2017,Asturias
2017,8/09/2017,Extremadura
2017,11/09/2017,Cataluña
2017,15/09/2017,Cantabria
2017,09/10/2017,Comunidad Valenciana
2017,12/10/2017,Nacional
2017,1/11/2017,Nacional
2017,6/12/2017,Nacional
2017,8/12/2017,Nacional
2017,25/12/2017,Nacional
2017,26/12/2017,Cataluña
2018,1/01/2018,Nacional
2018,28/02/2018,Andalucía
2018,19/03/2018,Comunidad Valenciana
2018,19/03/2018,Murcia
2018,29/03/2018,Andalucía
2018,29/03/2018,Aragón
2018,29/03/2018,Asturias
2018,29/03/2018,Castilla y León
2018,29/03/2018,Castilla-La Mancha
2018,29/03/2018,Extremadura
2018,29/03/2018,Galicia
2018,29/03/2018,La Rioja
2018,29/03/2018,Madrid
2018,29/03/2018,Murcia
2018,29/03/2018,Navarra
2018,29/03/2018,País Vasco
2018,30/03/2018,Nacional
2018,2/04/2018,Cataluña
2018,2/04/2018,Comunidad Valenciana
2018,2/04/2018,Navarra
2018,2/04/2018,País Vasco
2018,23/04/2018,Aragón
2018,23/04/2018,Castilla y León
2018,1/05/2018,Nacional
2018,2/05/2018,Madrid
2018,17/05/2018,Galicia
2018,31/05/2018,Castilla-La Mancha
2018,25/07/2018,Galicia
2018,15/08/2018,Nacional
2018,11/09/2018,Cataluña
2018,09/10/2018,Comunidad Valenciana
2018,12/10/2018,Nacional
2018,1/11/2018,Nacional
2018,6/12/2018,Nacional
2018,25/12/2018,Nacional
2018,26/12/2018,Cataluña
2019,1/01/2019,Nacional
2019,7/01/2019,Andalucía
2019,7/01/2019,Aragón
2019,7/01/2019,Asturias
2019,7/01/2019,Castilla y León
2019,7/01/2019,Extremadura
2019,7/01/2019,Madrid
2019,7/01/2019,Murcia
2019,7/01/2019,Navarra
2019,28/02/2019,Andalucía
2019,19/03/2019,Comunidad Valenciana
2019,19/03/2019,Galicia
2019,19/03/2019,Murcia
2019,19/03/2019,Navarra
2019,19/03/2019,País Vasco
2019,18/04/2019,Andalucía
2019,18/04/2019,Aragón
2019,18/04/2019,Asturias
2019,18/04/2019,Cantabria
2019,18/04/2019,Castilla y León
2019,18/04/2019,Castilla-La Mancha
2019,18/04/2019,Extremadura
2019,18/04/2019,Galicia
2019,18/04/2019,La Rioja
2019,18/04/2019,Madrid
2019,18/04/2019,Murcia
2019,18/04/2019,Navarra
2019,18/04/2019,País Vasco
2019,19/04/2019,Nacional
2019,22/04/2019,Cantabria
2019,22/04/2019,Castilla-La Mancha
2019,22/04/2019,Cataluña
2019,22/04/2019,Comunidad Valenciana
2019,22/04/2019,La Rioja
2019,22/04/2019,Navarra
2019,22/04/2019,País Vasco
2019,23/04/2019,Aragón
2019,23/04/2019,Castilla y León
2019,1/05/2019,Nacional
2019,2/05/2019,Madrid
2019,17/05/2019,Galicia
2019,31/05/2019,Castilla-La Mancha
2019,10/06/2019,La Rioja
2019,10/06/2019,Murcia
2019,20/06/2019,Castilla-La Mancha
2019,24/06/2019,Cataluña
2019,24/06/2019,Comunidad Valenciana
2019,25/07/2019,Cantabria
2019,25/07/2019,Galicia
2019,25/07/2019,País Vasco
2019,15/08/2019,Nacional
2019,09/09/2019,Asturias
2019,09/09/2019,Extremadura
2019,11/09/2019,Cataluña
2019,09/10/2019,Comunidad Valenciana
2019,1/11/2019,Nacional
2019,6/12/2019,Nacional
2019,09/12/2019,Andalucía
2019,09/12/2019,Aragón
2019,09/12/2019,Asturias
2019,09/12/2019,Cantabria
2019,09/12/2019,Castilla y León
2019,09/12/2019,Extremadura
2019,09/12/2019,La Rioja
2019,09/12/2019,Madrid
2019,25/12/2019,Nacional
2019,26/12/2019,Cataluña
2020,1/01/2020,Nacional
2020,6/01/2020,Nacional
2020,28/02/2020,Andalucía
2020,19/03/2020,Castilla-La Mancha
2020,19/03/2020,Comunidad Valenciana
2020,19/03/2020,Galicia
2020,19/03/2020,Murcia
2020,19/03/2020,Navarra
2020,19/03/2020,País Vasco
2020,9/04/2020,Andalucía
2020,9/04/2020,Aragón
2020,9/04/2020,Asturias
2020,9/04/2020,Cantabria
2020,9/04/2020,Castilla y León
2020,9/04/2020,Castilla-La Mancha
2020,9/04/2020,Extremadura
2020,9/04/2020,Galicia
2020,9/04/2020,La Rioja
2020,9/04/2020,Madrid
2020,9/04/2020,Murcia
2020,9/04/2020,Navarra
2020,9/04/2020,País Vasco
2020,10/04/2020,Nacional
2020,13/04/2020,Cantabria
2020,13/04/2020,Castilla-La Mancha
2020,13/04/2020,Cataluña
2020,13/04/2020,Comunidad Valenciana
2020,13/04/2020,La Rioja
2020,13/04/2020,Navarra
2020,13/04/2020,País Vasco
2020,23/04/2020,Aragón
2020,23/04/2020,Castilla y León
2020,1/05/2020,Nacional
2020,09/05/2020,Murcia
2020,09/06/2020,La Rioja
2020,11/06/2020,Castilla-La Mancha
2020,24/06/2020,Cantabria
2020,24/06/2020,Cataluña
2020,24/06/2020,Comunidad Valenciana
2020,24/06/2020,Galicia
2020,08/09/2020,Asturias
2020,08/09/2020,Extremadura
2020,11/09/2020,Cantabria
2020,09/10/2020,Comunidad Valenciana
2020,12/10/2020,Nacional
2020,02/11/2020,Andalucía
2020,02/11/2020,Aragón
2020,02/11/2020,Asturias
2020,02/11/2020,Castilla y León
2020,02/11/2020,Extremadura
2020,02/11/2020,Madrid
2020,07/12/2020,Andalucía
2020,07/12/2020,Aragón
2020,07/12/2020,Asturias
2020,07/12/2020,Castilla y León
2020,07/12/2020,Extremadura
2020,07/12/2020,La Rioja
2020,07/12/2020,Madrid
2020,07/12/2020,Murcia
2020,07/12/2020,Navarra
2020,8/12/2020,Nacional
2020,25/12/2020,Nacional
2021,1/01/2021,Nacional
2021,6/01/2021,Nacional
2021,1/03/2021,Andalucía
2021,19/03/2021,Comunidad Valenciana
2021,19/03/2021,Extremadura
2021,19/03/2021,Galicia
2021,19/03/2021,Madrid
2021,19/03/2021,Murcia
2021,19/03/2021,Navarra
2021,19/03/2021,País Vasco
2021,1/04/2021,Andalucía
2021,1/04/2021,Aragón
2021,1/04/2021,Asturias
2021,1/04/2021,Cantabria
2021,1/04/2021,Castilla y León
2021,1/04/2021,Castilla-La Mancha
2021,1/04/2021,Extremadura
2021,1/04/2021,Galicia
2021,1/04/2021,La Rioja
2021,1/04/2021,Madrid
2021,1/04/2021,Murcia
2021,1/04/2021,Navarra
2021,1/04/2021,País Vasco
2021,5/04/2021,Cataluña
2021,5/04/2021,Comunidad Valenciana
2021,5/04/2021,La Rioja
2021,5/04/2021,Navarra
2021,5/04/2021,País Vasco
2021,23/04/2021,Aragón
2021,23/04/2021,Castilla y León
2021,3/05/2021,Madrid
2021,17/05/2021,Galicia
2021,31/05/2021,Castilla-La Mancha
2021,3/06/2021,Castilla-La Mancha
2021,9/06/2021,La Rioja
2021,9/06/2021,Murcia
2021,24/06/2021,Cataluña
2021,24/06/2021,Comunidad Valenciana
2021,28/07/2021,Cantabria
2021,16/08/2021,Andalucía
2021,16/08/2021,Aragón
2021,16/08/2021,Asturias
2021,16/08/2021,Castilla y León
2021,8/09/2021,Asturias
2021,8/09/2021,Extremadura
2021,11/09/2021,Cataluña
2021,15/09/2021,Cantabria
2021,9/10/2021,Comunidad Valenciana
2021,12/10/2021,Nacional
2021,1/11/2021,Nacional
2021,6/12/2021,Nacional
2021,8/12/2021,Nacional
2022,6/01/2022,Nacional
2022,15/04/2022,Nacional
2022,15/08/2022,Nacional
2022,12/10/2022,Nacional
2022,1/11/2022,Nacional
2022,6/12/2022,Nacional
2022,8/12/2022,Nacional
2022,28/02/2022,Andalucía
2022,14/04/2022,Andalucía
2022,14/04/2022,Aragón
2022,14/04/2022,Asturias
2022,14/04/2022,Cantabria
2022,14/04/2022,Castilla-La Mancha
2022,14/04/2022,Extremadura
2022,14/04/2022,Galicia
2022,14/04/2022,Murcia
2022,14/04/2022,País Vasco
2022,14/04/2022,La Rioja
2022,14/04/2022,Castilla y León
2022,14/04/2022,Madrid
2022,14/04/2022,Navarra
2022,14/04/2022,Comunidad Valenciana
2022,18/04/2022,Cataluña
2022,18/04/2022,País Vasco
2022,18/04/2022,La Rioja
2022,18/04/2022,Navarra
2022,18/04/2022,Comunidad Valenciana
2022,02/05/2022,Andalucía
2022,02/05/2022,Aragón
2022,02/05/2022,Asturias
2022,02/05/2022,Extremadura
2022,02/05/2022,Murcia
2022,02/05/2022,Castilla y León
2022,02/05/2022,Madrid
2022,17/05/2022,Galicia
2022,31/05/2022,Castilla-La Mancha
2022,06/06/2022,Cataluña
2022,09/06/2022,La Rioja
2022,09/06/2022,Murcia
2022,16/06/2022,Castilla-La Mancha
2022,24/06/2022,Cataluña
2022,24/06/2022,Comunidad Valenciana
2022,24/06/2022,Galicia
2022,25/07/2022,Galicia
2022,25/07/2022,País Vasco
2022,25/07/2022,Madrid
2022,25/07/2022,Navarra
2022,28/07/2022,Cantabria
2022,06/09/2022,País Vasco
2022,08/09/2022,Asturias
2022,08/09/2022,Extremadura
2022,15/09/2022,Cantabria
2022,26/12/2022,Andalucía
2022,26/12/2022,Aragón
2022,26/12/2022,Asturias
2022,26/12/2022,Cantabria
2022,26/12/2022,Castilla-La Mancha
2022,26/12/2022,Extremadura
2022,26/12/2022,Murcia
2022,26/12/2022,La Rioja
2022,26/12/2022,Cataluña
2022,26/12/2022,Castilla y León
2022,26/12/2022,Madrid
2022,26/12/2022,Navarra